element,type,confidence(%)
underlying factors/comorbidities,Epidemiological/Exposure Factors/ Exposure/Source,76.5237
is patient healthcare worker,Patient History,70.762215
patient is a healthcare worker who was exposed to patients with severe acute respiratory infections,Case Information,73.04584
patient has visited a health care facility (as a patient or visitor),Patient History,76.18088
is the patient part of a severe respiratory illness cluster of unknown diagnosis/etiology that occured within a 14 day period,Treatment/ Services referrals/ Case Diagnosis and Treatment,73.04521
does the patient have clinical or radiological evidence of pneumonia,Clinical Information,73.02111
were chest x rays (cxr) done,Patient History,66.70026
does the patient have clinical or radiological evidence of acute respiratory distress syndrome (ards),Clinical Information,73.04663
does the patient have another diagnosis/etiology for their respiratory illness,Treatment/ Services referrals/ Case Diagnosis and Treatment,72.400826
patient hospitalised,Patient History,77.011024
transferred,Administrative,61.654533
ventilation,Public Health Issues,65.797295
on ecom,Control Measures,64.166855
tamiflu/other antiviral drugs,Potential Vibrio vehicles,70.31912
antibiotics,Medical Encounters,69.19171
white cell count total,Clinical Information,60.718884
differential neutrophils/lymphocytes percentage,Laboratory Data,61.678974
patient outcome*,Patient History,77.62591
patient status,Patient History,81.5498
province,Administrative,64.30891
patient epid number,Patient History,75.832535
district,Administrative,65.69792
vaccine recipient name and surname,Patient History,66.335846
sex,Comments,66.737495
date of birth,Patient History,64.33852
age at onset,History of the disease,67.24009
age group,Comments,60.11709
patient’s full residential address with landmarks (street name house number locality etc.),Clinical Information,76.514694
telephone no.,Partner Information,64.97832
mobile no.,Comments,62.07301
patient e-mail,Clinical Information,77.26684
name and surname of reporting officer,Reporting Entity/Reporting Facility,77.29327
designation/position,Administrative,75.83578
patient e-mail,Clinical Information,77.26684
telephone,Call logs,68.34405
mobile,Comments,66.51685
date of filling this form,Patient History,67.289925
date of investigation,Case Information,74.56369
this report is,Reporting Entity/Reporting Facility,68.41645
date of onset of event,Event,75.78604
time of first symptom,History of the disease,71.113495
date first reported to the health authority,Patient History,75.9222
date of hospitalization (if applicable),Patient History,82.775856
status on the date of investigation,Case Information,75.09702
autopsy done,Medical Encounters,66.04214
name of vaccinator,Maternal and Neonatal (e.g. Listeria forms),67.153564
designation,Administrative,69.45636
name of vaccination site,Epidemiological/Exposure Factors/ Exposure/Source,63.7148
address of vaccination site,Epidemiological/Exposure Factors/ Exposure/Source,65.12259
place of vaccination,Epidemiological/Exposure Factors/ Exposure/Source,67.369095
type of site,Administrative,62.42771
vaccination in,Public Health Issues,67.14798
minor local reactions,Local Fields,65.325165
minor systemic reactions,Medical Encounters,66.16662
severe local reactions,Epidemiological/Exposure Factors/ Exposure/Source,65.08594
severe systemic reactions,Illness in Mother and Infant,69.72694
foetal adverse reactions in the case of maternal immunisation,Illness in Mother and Infant,76.02985
vaccine administered*,Medical Encounters,65.0153
needles,Medical Encounters,68.90369
syringes,Medical Encounters,71.851204
any history of similar event,Event,68.1729
any previous reactions or adverse event after immunisation,Epidemiological/Exposure Factors/ Exposure/Source,66.04713
any history of allergies (vaccine food drugs),Maternal and Neonatal (e.g. Listeria forms),69.21609
any family history of any allergies,Epidemiological/Exposure Factors/ Exposure/Source,72.4178
any family history of any disease/s (relevant to aefi),Clinical Information,74.392525
pre-existing medical condition/ congenital disorder,Illness in Mother and Infant,77.271034
pre-existing acute illness (30 days) prior to vaccination,Illness in Mother and Infant,68.822205
suffering from any medical condition currently,Medical Encounters,73.30473
history of hospitalisation in last 30 days with cause,Patient History,82.32892
tested covid-19 positive prior to vaccination date,Diagnostic Testing,65.4742
receiving any concomitant medication,Clinical Information,74.8293
receiving any herbal and/or traditional medicines,Traditional Healer,75.88997
current pregnant,Illness in Mother and Infant,64.99584
currently breastfeeding,Illness in Mother and Infant,66.39021
gestation,Illness in Mother and Infant,71.67715
birth weight,Illness in Mother and Infant,66.31746
delivery procedure,Medical Encounters,62.090576
for infants,Maternal and Neonatal (e.g. Listeria forms),70.41347
source of information,Clinical Information,67.72775
name and surname of the person who first examined/treated the patient,Patient History,82.83111
name and surname of other persons treating the patient,Clinical Information,80.68747
other sources who provided information (specify),Reporting Entity/Reporting Facility,67.4316
signs and symptoms of the aefi in chronological order from the time of vaccination,Epidemiological/Exposure Factors/ Exposure/Source,69.67021
name and surname,Partner Information,71.17976
designation,Administrative,69.45636
contact,Partner Information,65.43604
date,Event,67.06779
time,Event,63.26425
if patient has received medical care attach copies of all available documents (including case sheet. discharge summary laboratory reports and autopsy reports if available). provide only information not available in the attached documents below.,Clinical Information,81.89865
if patient has not received medical care obtain history examine the patient and record your findings below (add additional sheets if necessary),Patient History,78.37498
provisional/final diagnosis at the facility (valid diagnosis),Diagnostic Testing,81.18835
vaccines immunised for each antigen at session site. attach record if available,Medical Encounters,68.93871
when was the patient immunised,History of the disease,72.76026
in case of multidose vials when was the vaccine given,Maternal and Neonatal (e.g. Listeria forms),65.2516
time vial was opened,Patient History,66.63291
was there an error in prescribing or non-adherence to recommendations for use of this vaccine,Clinical Information,64.201096
vaccine was not unsterilr,Illness in Mother and Infant,65.795395
if vaccine was normal,Public Health Issues,62.787354
based on your investigation do you feel that there was an error in vaccine reconstitution/preparation by the vaccinator (e.g. wrong product wrong diluent improper mixing improper syringe filing etc.),Diagnostic Testing,65.61388
based on your investigation do you feel that there was an error in vaccine handling (e.g. break in cold chain during transport storage and/or immunisation session etc.),Maternal and Neonatal (e.g. Listeria forms),65.73335
if vaccine administered correctly,Maternal and Neonatal (e.g. Listeria forms),62.95557
number immunised from the concerned vaccine vial/ampoule,Laboratory Data,65.61654
number immunised with the concerned vaccine in the same session,Patient History,65.21548
number immunised with the concerned vaccine having the same batch number in other locations (specify locations),Epidemiological/Exposure Factors/ Exposure/Source,62.37916
could this event be a stress response related to immunisation (e.g. acute stress response vasovagal reaction hyperventilation dissociative neurological symptom reaction etc.),Illness in Mother and Infant,67.66408
is this case a part of a cluster,Case Information,67.862366
did all the cases in the cluster receive vaccine from the same vial,Maternal and Neonatal (e.g. Listeria forms),63.656075
are ad syringes used for immunisation,Potential Vibrio vehicles,63.276802
specify type of syringes used,Potential Vibrio vehicles,63.81606
needle used,Medical Encounters,65.60456
specific findings and comments,Laboratory Data,72.56095
same reconstitution syringe used for multiple vials of same vaccine,Maternal and Neonatal (e.g. Listeria forms),58.647655
same reconstitution syringe used for reconstituting different vaccines,Maternal and Neonatal (e.g. Listeria forms),61.372692
separate reconstitution syringe for each vaccine vial,Potential Vibrio vehicles,60.894714
separate reconstitution syringe for each vaccination,Potential Vibrio vehicles,60.50594
if vaccines and diluents are recommended,Maternal and Neonatal (e.g. Listeria forms),70.19568
specific findings and comments,Laboratory Data,72.56095
correct dose and route,Treatment/ Services referrals/ Case Diagnosis and Treatment,67.86417
time of reconstitution mentioned on the vial (in case of freeze dried vaccines),Maternal and Neonatal (e.g. Listeria forms),63.94574
non-touch technique followed,Medical Encounters,60.458015
contraindications screened prior to vaccination,Epidemiological/Exposure Factors/ Exposure/Source,66.035904
how many aefi were reported from the centre that distributed the vaccine in the last 30 days,Epidemiological/Exposure Factors/ Exposure/Source,67.24682
training received by the vaccinator if yes specify date of last training,Patient History,70.52861
specific findings and comments,Laboratory Data,72.56095
is the temperature of the vaccine storage refrigerator monitored,Diagnostic Testing,62.447823
was the incorrect procedure followed for storing vaccines diluents and syringes followed,Maternal and Neonatal (e.g. Listeria forms),63.49732
