element,members
based on your investigation do you feel that there was an error in vaccine reconstitution/preparation by the vaccinator (e.g. wrong product wrong diluent improper mixing improper syringe filing etc.),Based on your investigation do you feel that there was an error in vaccine reconstitution/preparation by the vaccinator (e.g. Wrong product wrong diluent improper mixing improper syringe filing etc.)
based on your investigation do you feel that there was an error in vaccine handling (e.g. break in cold chain during transport storage and/or immunisation session etc.),Based on your investigation do you feel that there was an error in vaccine handling (e.g. Break in cold chain during transport storage and/or immunisation session etc.)
based on your investigation do you feel that the vaccine was administered incorrectly (e.g. wrong dose site or route of administration wrong needle size not following good injection practice etc.),"Based on your investigation do you feel that the vaccine was administered incorrectly (e.g. Wrong dose site or route of administration wrong needle size not following good injection practice etc.), Based on your investigation, do you feel that the vaccine was administered incorrectly (e.g. wrong dose, site or route of administration, wrong needle size, not following good injection practice etc)"
number immunised from the concerned vaccine vial/ampoule,"Number immunised from the concerned vaccine vial/ampoule, Number immunized from the concerned vaccine vial/ampoule"
number immunised with the concerned vaccine in the same session,"Number immunised with the concerned vaccine in the same session, Number immunized with the concerned vaccine in the same session"
number immunised with the concerned vaccine having the same batch number in other locations (specify locations),Number immunised with the concerned vaccine having the same batch number in other locations (specify locations)
could this event be a stress response related to immunisation (e.g. acute stress response vasovagal reaction hyperventilation dissociative neurological symptom reaction etc.),Could this event be a stress response related to immunisation (e.g. Acute stress response vasovagal reaction hyperventilation dissociative neurological symptom reaction etc.)
is this case part of a cluster,"Is this case a part of a cluster, Is this case part of a cluster"
did all the cases in the cluster receive vaccine from the same vial,Did all the cases in the cluster receive vaccine from the same vial
are ad syringes used for immunisation,"Are AD syringes used for immunisation, Are AD syringes used for immunization"
"if no, specify the type of syringes used","If No. specify the type of syringes used, If no, specify the type of syringes used"
needle used,Needle used
specific key findings/additional observations and comments,"Specific key findings/additional observations and comments, Specific key findings/ additional observations and comments"
same reconstitution syringe used for multiple vials of same vaccine,Same reconstitution syringe used for multiple vials of same vaccine
same reconstitution syringe used for reconstituting different vaccines,Same reconstitution syringe used for reconstituting different vaccines
separate reconstitution syringe for each vaccine vial,Separate reconstitution syringe for each vaccine vial
separate reconstitution syringe for each vaccination,Separate reconstitution syringe for each vaccination
are the vaccines and diluents used the same as those recommended by the manufacturer,"Are vaccines and diluents used the same as those recommended by the manufacturer, Are the vaccines and diluents used the same as those recommended by the manufacturer"
correct dose and route,Correct dose and route
time of reconstitution mentioned on the vial (in case of freeze dried vaccines),Time of reconstitution mentioned on the vial (In case of freeze dried vaccines)
non-touch technique followed,Non-touch technique followed
contraindications screened prior to vaccination,Contraindications screened prior to vaccination
how many aefi were reported from the centre that distributed the vaccine in the last 30 days,How many AEFI were reported from the centre that distributed the vaccine in the last 30 days
training received by the vaccinator if yes specify date of last training,Training received by the vaccinator If yes specify date of last training
is the temperature of the vaccine storage refrigerator monitored,Is the temperature of the vaccine storage refrigerator monitored
was the incorrect procedure followed for storing vaccines diluents and syringes followed,Was the incorrect procedure followed for storing vaccines diluents and syringes followed
was any other item (other than vaccines and diluents) in the refrigerator or freezer,Was any other item (other than vaccines and diluents) in the refrigerator or freezer
were any partially used reconstituted vaccines in the refrigerator,Were any partially used reconstituted vaccines in the refrigerator
"were any unusable vaccines (expired, no label, vvm at stages 3 or 4, frozen) in the refrigerator","Were any unusable vaccines (expired No. label vvm at stages 3 or 4 frozen) in the refrigerator, Were any unusable vaccines (expired, no label, VVM at stages 3 or 4, frozen) in the refrigerator"
"were any unusable diluents (expired, manufacturer not matched, cracked, dirty ampoule) in the store","Were any unusable diluents (expired manufacturer not matched cracked dirty ampoule) in the store, Were any unusable diluents (expired, manufacturer not matched, cracked, dirty ampoule) in the store"
specify the type of vaccine carrier used,Specify the type of vaccine carrier used
